                     p.Moran_I   p.Moran_Z  p.Moran_P  p.Moran_Padj
ADAMTSL4          3.624217e-02    5.424662   0.000999      0.004052
RBM27             3.623380e-02    5.627709   0.000999      0.004052
GTF3C4            3.623327e-02    5.493302   0.000999      0.004052
C2CD2L            3.623005e-02    5.355531   0.000999      0.004052
PDIA2             3.622694e-02    5.477361   0.000999      0.004052
IL17RB            3.622692e-02    5.476619   0.000999      0.004052
ZNF550            3.622650e-02    5.487746   0.000999      0.004052
RSRP1             3.622302e-02    5.815761   0.000999      0.004052
PARL              3.621661e-02    5.334326   0.000999      0.004052
SYNM              3.621378e-02    5.566330   0.000999      0.004052
DENND3            3.619485e-02    5.294083   0.000999      0.004052
RAPGEF1           3.619262e-02    5.364185   0.000999      0.004052
COQ10B            3.619257e-02    5.466377   0.000999      0.004052
EME2              3.618621e-02    5.460173   0.000999      0.004052
MARVELD3          3.617715e-02    5.375866   0.000999      0.004052
TEDC1             3.617420e-02    5.638260   0.000999      0.004052
CD200             3.616484e-02    5.376898   0.000999      0.004052
CINP              3.614737e-02    5.617800   0.000999      0.004052
DPP9              3.614687e-02    5.272424   0.000999      0.004052
MAGI3             3.614079e-02    5.707082   0.000999      0.004052
SFT2D2            3.613062e-02    5.311540   0.000999      0.004052
ACOT4             3.612700e-02    5.410685   0.000999      0.004052
GFER              3.612658e-02    5.337115   0.000999      0.004052
TPP1              3.610867e-02    5.484365   0.000999      0.004052
MED7              3.610806e-02    5.384361   0.000999      0.004052
PRKRA             3.610691e-02    5.343325   0.000999      0.004052
AP1AR             3.610499e-02    5.465703   0.000999      0.004052
SORL1             3.610404e-02    5.505313   0.000999      0.004052
NEIL1             3.610112e-02    5.506610   0.000999      0.004052
FCN1              3.609829e-02    5.633611   0.000999      0.004052
RNF152            3.607324e-02    5.655595   0.000999      0.004052
CACFD1            3.606508e-02    5.399020   0.000999      0.004052
PHF12             3.606044e-02    5.267220   0.000999      0.004052
OAZ2              3.605931e-02    5.396840   0.000999      0.004052
DNAAF2            3.604251e-02    5.457902   0.000999      0.004052
MTOR              3.604194e-02    5.532242   0.000999      0.004052
RASGRP3           3.603693e-02    5.402557   0.000999      0.004052
SPCS3             3.603644e-02    5.521979   0.000999      0.004052
TMEM251           3.603096e-02    5.507727   0.000999      0.004052
FRAT2             3.602883e-02    5.156821   0.000999      0.004052
TCTN3             3.602757e-02    5.584312   0.000999      0.004052
AC023509.2        3.602751e-02    5.337592   0.000999      0.004052
SYNJ2             3.601630e-02    5.349979   0.000999      0.004052
RBM38             3.601127e-02    5.648691   0.000999      0.004052
DYRK2             3.600518e-02    5.207419   0.000999      0.004052
SH3BP1            3.599385e-02    5.541131   0.000999      0.004052
AMBRA1            3.599118e-02    5.370711   0.000999      0.004052
EEF1AKMT4         3.598985e-02    5.432448   0.000999      0.004052
MRVI1             3.597038e-02    5.466642   0.000999      0.004052
ARSG              3.596595e-02    5.607150   0.000999      0.004052
PLPP4             3.596584e-02    5.558708   0.000999      0.004052
SOCS1             3.596429e-02    5.424236   0.000999      0.004052
KMT2E             3.596216e-02    5.373947   0.000999      0.004052
EIF2B1            3.594381e-02    5.420704   0.000999      0.004052
GATD1             3.593850e-02    5.288364   0.000999      0.004052
RTN1              3.593758e-02    5.390259   0.000999      0.004052
LGI1              3.593452e-02    5.621925   0.000999      0.004052
TMEM81            3.592286e-02    5.665065   0.000999      0.004052
CARMIL3           3.591856e-02    5.550775   0.000999      0.004052
TUBGCP2           3.589525e-02    5.336279   0.000999      0.004052
SLC35E3           3.588861e-02    5.215348   0.000999      0.004052
ETFB              3.588703e-02    5.373686   0.000999      0.004052
FAM114A2          3.586571e-02    5.424403   0.000999      0.004052
MED15             3.586560e-02    5.463243   0.000999      0.004052
PPP1R35           3.586409e-02    5.605496   0.000999      0.004052
TMEM159           3.586368e-02    5.314089   0.000999      0.004052
MCCC1             3.586042e-02    5.492678   0.000999      0.004052
FCER1A            3.585736e-02    5.702741   0.000999      0.004052
TLDC1             3.584870e-02    5.600272   0.000999      0.004052
LSM2              3.584575e-02    5.524822   0.000999      0.004052
APOO              3.580680e-02    5.100390   0.000999      0.004052
MUC16             3.580007e-02    5.509363   0.000999      0.004052
DDAH1             3.579032e-02    5.454018   0.000999      0.004052
DHFR              3.578992e-02    5.364425   0.000999      0.004052
DDX39B            3.578261e-02    5.523779   0.000999      0.004052
PLA2G15           3.577993e-02    5.316823   0.000999      0.004052
GREM1             3.576391e-02    5.667641   0.000999      0.004052
ETNK2             3.575785e-02    5.300878   0.000999      0.004052
KLF5              3.575486e-02    5.454469   0.000999      0.004052
TMX1              3.575219e-02    5.317013   0.000999      0.004052
MVD               3.574385e-02    5.258558   0.000999      0.004052
AOX1              3.574317e-02    5.664332   0.000999      0.004052
UACA              3.574216e-02    5.333394   0.000999      0.004052
IL17RC            3.574078e-02    5.462683   0.000999      0.004052
UBE3A             3.573904e-02    5.378242   0.000999      0.004052
VPS37B            3.573690e-02    5.359918   0.000999      0.004052
CNNM3             3.573403e-02    5.494747   0.000999      0.004052
LSAMP             3.573286e-02    5.550894   0.000999      0.004052
ZNF384            3.573005e-02    5.254211   0.000999      0.004052
FBXO34            3.572912e-02    5.514899   0.000999      0.004052
FAAH              3.570616e-02    5.227554   0.000999      0.004052
CBR1              3.570575e-02    5.491538   0.000999      0.004052
ZIC2              3.570131e-02    5.285598   0.000999      0.004052
ING2              3.569730e-02    5.494174   0.000999      0.004052
CSTF1             3.569678e-02    5.354842   0.000999      0.004052
TRPM8             3.568016e-02    5.777732   0.000999      0.004052
METTL2A           3.566922e-02    5.431854   0.000999      0.004052
VPS26A            3.565963e-02    5.488198   0.000999      0.004052
C1orf115          3.565698e-02    5.438551   0.000999      0.004052
RAB8B             3.563787e-02    5.327641   0.000999      0.004052
HOXC13-AS         3.563198e-02    5.229357   0.000999      0.004052
EDN1              3.563088e-02    5.312277   0.000999      0.004052
NDRG3             3.561313e-02    5.397792   0.000999      0.004052
RPS6KC1           3.560914e-02    5.324693   0.000999      0.004052
PIP4K2A           3.559897e-02    5.412148   0.000999      0.004052
TMEM65            3.559704e-02    5.562493   0.000999      0.004052
MRPL49            3.559656e-02    5.567722   0.000999      0.004052
CALB2             3.558850e-02    5.924437   0.000999      0.004052
FSTL3             3.558385e-02    5.444318   0.000999      0.004052
ZXDC              3.558272e-02    5.207353   0.000999      0.004052
SIN3A             3.557361e-02    5.520182   0.000999      0.004052
A1BG              3.557052e-02    5.405993   0.000999      0.004052
PCNT              3.556762e-02    5.420665   0.000999      0.004052
LYPD3             3.556104e-02    5.261055   0.000999      0.004052
RNF6              3.555216e-02    5.390479   0.000999      0.004052
TSPOAP1           3.554895e-02    5.454861   0.000999      0.004052
LTA4H             3.554565e-02    5.412082   0.000999      0.004052
DTX3              3.552518e-02    5.303823   0.000999      0.004052
TRIP10            3.549753e-02    5.227656   0.000999      0.004052
PLCE1             3.549662e-02    5.449890   0.000999      0.004052
C11orf49          3.549100e-02    5.608183   0.000999      0.004052
ARL2BP            3.548825e-02    5.399767   0.000999      0.004052
YARS2             3.548523e-02    5.449498   0.000999      0.004052
AC008556.1        3.548065e-02    5.332653   0.000999      0.004052
IMPA2             3.547906e-02    5.382798   0.000999      0.004052
MGLL              3.547530e-02    5.459243   0.000999      0.004052
BAG5              3.546770e-02    5.325209   0.000999      0.004052
RNF217            3.546743e-02    5.233879   0.000999      0.004052
ANGEL1            3.546093e-02    5.275303   0.000999      0.004052
POLD4             3.544967e-02    5.212396   0.000999      0.004052
COG2              3.544920e-02    5.324613   0.000999      0.004052
SDF4              3.544881e-02    5.632859   0.000999      0.004052
UBXN6             3.544244e-02    5.369994   0.000999      0.004052
U2SURP            3.544139e-02    5.470301   0.000999      0.004052
SLC33A1           3.543194e-02    5.304958   0.000999      0.004052
DEAF1             3.542822e-02    5.425344   0.000999      0.004052
TRGC2             3.542729e-02    5.466952   0.000999      0.004052
GRK5              3.542382e-02    5.478288   0.000999      0.004052
ABCC6             3.541723e-02    5.480569   0.000999      0.004052
HEYL              3.541613e-02    5.599608   0.000999      0.004052
GOT1              3.538911e-02    5.348880   0.000999      0.004052
PHLPP1            3.536897e-02    5.661689   0.000999      0.004052
LZTFL1            3.534172e-02    5.361551   0.000999      0.004052
NFS1              3.534090e-02    5.355285   0.000999      0.004052
STK19             3.534058e-02    5.373050   0.000999      0.004052
FOXD3-AS1         3.532899e-02    5.355131   0.000999      0.004052
TPRKB             3.532666e-02    5.577210   0.000999      0.004052
KLHDC7A           3.531590e-02    5.110173   0.000999      0.004052
BCAS2             3.530781e-02    5.367424   0.000999      0.004052
EDNRA             3.530506e-02    5.206288   0.000999      0.004052
TMEM87B           3.530396e-02    5.328778   0.000999      0.004052
SHKBP1            3.528341e-02    5.429578   0.000999      0.004052
THOC6             3.528290e-02    5.286212   0.000999      0.004052
SNHG15            3.528022e-02    5.265916   0.000999      0.004052
CARD14            3.527665e-02    5.302196   0.000999      0.004052
ITM2C             3.527443e-02    5.306306   0.000999      0.004052
PXN               3.527401e-02    5.454961   0.000999      0.004052
SNAP29            3.526382e-02    5.621071   0.000999      0.004052
TBXAS1            3.526079e-02    5.269444   0.000999      0.004052
ALDH3B1           3.525710e-02    5.319309   0.000999      0.004052
TRAF2             3.525105e-02    5.584394   0.000999      0.004052
DPP8              3.523630e-02    5.340824   0.000999      0.004052
GANAB             3.523249e-02    5.203385   0.000999      0.004052
ME2               3.522589e-02    5.300035   0.000999      0.004052
DTX2              3.522280e-02    5.507757   0.000999      0.004052
FAM169A           3.522271e-02    5.577689   0.000999      0.004052
PEMT              3.522265e-02    5.235166   0.000999      0.004052
CACNB3            3.522185e-02    5.091174   0.000999      0.004052
ZNF598            3.521973e-02    5.492910   0.000999      0.004052
PBRM1             3.521607e-02    5.293318   0.000999      0.004052
PRR36             3.521406e-02    5.560155   0.000999      0.004052
HIC1              3.521236e-02    5.370248   0.000999      0.004052
TAMM41            3.520359e-02    5.458883   0.000999      0.004052
GPRC5B            3.519339e-02    5.398909   0.000999      0.004052
PROSER1           3.518719e-02    5.236423   0.000999      0.004052
BARX2             3.518604e-02    5.475197   0.000999      0.004052
VPS8              3.517573e-02    5.175097   0.000999      0.004052
HIBADH            3.515152e-02    5.375675   0.000999      0.004052
FUK               3.514612e-02    5.334763   0.000999      0.004052
TMEM129           3.512463e-02    5.498230   0.000999      0.004052
EP400             3.512417e-02    5.293358   0.000999      0.004052
AKAP8L            3.512185e-02    5.305351   0.000999      0.004052
CCL4L2            3.510636e-02    5.467786   0.000999      0.004052
ITGBL1            3.508946e-02    5.347943   0.000999      0.004052
EIF3A             3.508801e-02    5.321102   0.000999      0.004052
TRIQK             3.508570e-02    5.278654   0.000999      0.004052
PXYLP1            3.508198e-02    5.441028   0.000999      0.004052
EEF1AKMT1         3.507671e-02    5.334776   0.000999      0.004052
CENPL             3.506344e-02    5.414357   0.000999      0.004052
AK2               3.506048e-02    5.304991   0.000999      0.004052
TTC1              3.505785e-02    5.382220   0.000999      0.004052
UFD1              3.505436e-02    5.502272   0.000999      0.004052
CSKMT             3.504522e-02    5.323313   0.000999      0.004052
TDRKH             3.502738e-02    5.299401   0.000999      0.004052
SH2D4A            3.501856e-02    5.137665   0.000999      0.004052
ANKH              3.501145e-02    5.513356   0.000999      0.004052
SKA3              3.500061e-02    5.546005   0.000999      0.004052
IMMP1L            3.499987e-02    5.395407   0.000999      0.004052
MED4              3.499450e-02    5.140437   0.000999      0.004052
ITGB7             3.498434e-02    5.359750   0.000999      0.004052
STN1              3.497102e-02    5.073970   0.000999      0.004052
DNAJC27-AS1       3.496903e-02    5.294141   0.000999      0.004052
EPB41L2           3.495450e-02    5.247048   0.000999      0.004052
CCAR2             3.494461e-02    5.499280   0.000999      0.004052
ASXL1             3.493653e-02    5.280497   0.000999      0.004052
PIAS1             3.493261e-02    5.253861   0.000999      0.004052
FOXP1             3.493080e-02    5.232546   0.000999      0.004052
C12orf73          3.492746e-02    5.452225   0.000999      0.004052
MAPKAPK3          3.491064e-02    5.316796   0.000999      0.004052
PHF8              3.490811e-02    5.394057   0.000999      0.004052
IPO4              3.490636e-02    5.339185   0.000999      0.004052
ANKRD11           3.490257e-02    5.395996   0.000999      0.004052
LRRC58            3.490176e-02    5.239150   0.000999      0.004052
FOXO3             3.490086e-02    5.374993   0.000999      0.004052
RBP5              3.489650e-02    5.437028   0.000999      0.004052
UTP6              3.488493e-02    5.549776   0.000999      0.004052
RNF130            3.486780e-02    5.486869   0.000999      0.004052
TMEM47            3.484751e-02    5.374881   0.000999      0.004052
CNFN              3.484706e-02    5.212286   0.000999      0.004052
FJX1              3.483673e-02    5.246801   0.000999      0.004052
TMEM170A          3.483083e-02    5.263379   0.000999      0.004052
THOC1             3.482858e-02    5.272464   0.000999      0.004052
IGFALS            3.482715e-02    5.129872   0.000999      0.004052
ENDOG             3.482308e-02    5.155671   0.000999      0.004052
MYO19             3.481167e-02    5.190445   0.000999      0.004052
LUC7L2            3.479566e-02    5.307629   0.000999      0.004052
AVIL              3.478008e-02    5.374799   0.000999      0.004052
RSAD1             3.477383e-02    5.369903   0.000999      0.004052
PFKFB4            3.477263e-02    5.120050   0.000999      0.004052
MEMO1             3.476269e-02    5.345910   0.000999      0.004052
SLFN11            3.476023e-02    5.321802   0.000999      0.004052
FGFR1OP           3.475948e-02    5.572715   0.000999      0.004052
LRMP              3.475420e-02    5.605667   0.000999      0.004052
IPO5              3.471940e-02    5.136047   0.000999      0.004052
VAMP4             3.467573e-02    5.296882   0.000999      0.004052
CDH10             3.467041e-02    5.572972   0.000999      0.004052
INTS7             3.466722e-02    5.438941   0.000999      0.004052
GABPB2            3.466580e-02    5.070705   0.000999      0.004052
RREB1             3.466407e-02    5.277380   0.000999      0.004052
SEMA6C            3.466219e-02    5.354542   0.000999      0.004052
AC013726.1        3.466147e-02    5.445473   0.000999      0.004052
PSMD5             3.465698e-02    5.173621   0.000999      0.004052
GXYLT1            3.464805e-02    5.381652   0.000999      0.004052
COX15             3.464469e-02    5.299847   0.000999      0.004052
BORCS6            3.463330e-02    5.309183   0.000999      0.004052
UBE3B             3.461937e-02    5.218454   0.000999      0.004052
SLC25A19          3.461740e-02    5.256336   0.000999      0.004052
ESM1              3.461385e-02    5.384623   0.000999      0.004052
SNX21             3.459781e-02    5.442673   0.000999      0.004052
SUGT1             3.458665e-02    5.091583   0.000999      0.004052
AC015813.1        3.458194e-02    5.490391   0.000999      0.004052
ITGA3             3.458181e-02    5.331498   0.000999      0.004052
LINC00467         3.457004e-02    5.558922   0.000999      0.004052
PRRC2B            3.456556e-02    5.228361   0.000999      0.004052
KMT2B             3.456118e-02    5.041046   0.000999      0.004052
HTR2B             3.455815e-02    5.089898   0.000999      0.004052
CBWD2             3.455064e-02    5.158776   0.000999      0.004052
NUMA1             3.454109e-02    5.143608   0.000999      0.004052
CTDSPL2           3.453598e-02    5.266854   0.000999      0.004052
KIF14             3.453417e-02    5.078696   0.000999      0.004052
AGO1              3.453370e-02    5.329960   0.000999      0.004052
RALBP1            3.453326e-02    5.144993   0.000999      0.004052
C7orf26           3.452898e-02    5.213697   0.000999      0.004052
SNX12             3.452599e-02    5.315386   0.000999      0.004052
AC044784.1        3.452357e-02    5.336676   0.000999      0.004052
CYB5R3            3.451571e-02    5.142216   0.000999      0.004052
FBXO6             3.450735e-02    5.206302   0.000999      0.004052
GALT              3.450419e-02    5.241179   0.000999      0.004052
AVL9              3.448025e-02    5.128377   0.000999      0.004052
RNF123            3.446873e-02    5.163802   0.000999      0.004052
PLIN5             3.446518e-02    5.041450   0.000999      0.004052
MISP3             3.444897e-02    5.309467   0.000999      0.004052
UTP4              3.444726e-02    5.249495   0.000999      0.004052
LMAN2L            3.444266e-02    5.350739   0.000999      0.004052
CFAP20            3.444210e-02    5.188349   0.000999      0.004052
CD1C              3.443137e-02    5.334849   0.000999      0.004052
FCHSD2            3.442645e-02    5.241859   0.000999      0.004052
LIG1              3.442477e-02    5.147793   0.000999      0.004052
PPM1E             3.442356e-02    5.157161   0.000999      0.004052
HADHA             3.441801e-02    5.142314   0.000999      0.004052
PRDM1             3.441393e-02    5.266711   0.000999      0.004052
ZNF131            3.441147e-02    5.347567   0.000999      0.004052
SFMBT2            3.440881e-02    5.414640   0.000999      0.004052
ME3               3.439041e-02    5.238753   0.000999      0.004052
INSR              3.438661e-02    5.410152   0.000999      0.004052
SAMD4B            3.438650e-02    5.415831   0.000999      0.004052
IGDCC3            3.437146e-02    5.125997   0.000999      0.004052
AL031058.1        3.436704e-02    4.975125   0.000999      0.004052
KAT7              3.436586e-02    5.214108   0.000999      0.004052
IAH1              3.436311e-02    5.325994   0.000999      0.004052
CNTRL             3.435590e-02    5.201319   0.000999      0.004052
COPS8             3.435364e-02    4.997235   0.000999      0.004052
NAAA              3.435224e-02    5.049835   0.000999      0.004052
BOP1              3.431628e-02    5.289892   0.000999      0.004052
NUBP1             3.431445e-02    5.350169   0.000999      0.004052
ZNF276            3.429273e-02    5.169736   0.000999      0.004052
MUC20-OT1         3.428139e-02    5.136047   0.000999      0.004052
DCTD              3.427818e-02    5.135972   0.000999      0.004052
SMIM20            3.427176e-02    5.198059   0.000999      0.004052
KLHDC10           3.427107e-02    5.231175   0.000999      0.004052
FAM168A           3.426528e-02    5.300020   0.000999      0.004052
SLC15A4           3.425052e-02    5.240593   0.000999      0.004052
NGLY1             3.424996e-02    5.324911   0.000999      0.004052
GRAMD4            3.424977e-02    5.178253   0.000999      0.004052
HIRIP3            3.423861e-02    5.276926   0.000999      0.004052
RBM10             3.423124e-02    5.280069   0.000999      0.004052
FAAP100           3.422661e-02    5.350322   0.000999      0.004052
TRUB1             3.422449e-02    5.142513   0.000999      0.004052
RAB9A             3.421844e-02    5.332214   0.000999      0.004052
NUDT12            3.421742e-02    5.156586   0.000999      0.004052
UTP11             3.421392e-02    5.127161   0.000999      0.004052
SLC43A1           3.420141e-02    5.222509   0.000999      0.004052
CCDC69            3.419929e-02    5.127978   0.000999      0.004052
SCARF2            3.419843e-02    5.106986   0.000999      0.004052
TMEM68            3.419777e-02    5.347773   0.000999      0.004052
FAM13B            3.419164e-02    5.249647   0.000999      0.004052
EDIL3             3.418224e-02    5.404751   0.000999      0.004052
CCDC28B           3.417528e-02    5.272120   0.000999      0.004052
PCID2             3.414042e-02    5.062596   0.000999      0.004052
TP63              3.412985e-02    5.252484   0.000999      0.004052
SLC7A7            3.412850e-02    4.997362   0.000999      0.004052
AC099518.5        3.412735e-02    5.461570   0.000999      0.004052
SNX9              3.412044e-02    5.179155   0.000999      0.004052
PRR14             3.410973e-02    5.397346   0.000999      0.004052
CTDP1             3.410777e-02    5.252671   0.000999      0.004052
UBAP1             3.410674e-02    5.234443   0.000999      0.004052
TNF               3.409526e-02    5.263098   0.000999      0.004052
DHX8              3.408494e-02    5.183704   0.000999      0.004052
BBC3              3.406260e-02    5.078806   0.000999      0.004052
IVNS1ABP          3.405379e-02    5.061317   0.000999      0.004052
UBQLN4            3.405255e-02    5.231671   0.000999      0.004052
MPHOSPH8          3.403164e-02    5.343258   0.000999      0.004052
PCDH19            3.402386e-02    5.240015   0.000999      0.004052
MCAT              3.401868e-02    5.097186   0.000999      0.004052
EP300             3.401423e-02    5.166514   0.000999      0.004052
SLC22A5           3.400922e-02    5.054966   0.000999      0.004052
EARS2             3.400386e-02    5.291032   0.000999      0.004052
PRRG2             3.399498e-02    5.491334   0.000999      0.004052
SPTY2D1           3.399402e-02    4.950004   0.000999      0.004052
MXD4              3.398737e-02    5.186748   0.000999      0.004052
MST1              3.398415e-02    5.194040   0.000999      0.004052
RNF43             3.397646e-02    5.098886   0.000999      0.004052
SIRT2             3.396867e-02    5.099426   0.000999      0.004052
TOR1A             3.395675e-02    5.206451   0.000999      0.004052
CCDC59            3.394752e-02    5.307487   0.000999      0.004052
CD200R1           3.394408e-02    5.060822   0.000999      0.004052
SYNE2             3.393750e-02    5.142003   0.000999      0.004052
PSMC2             3.393472e-02    5.066374   0.000999      0.004052
VAMP3             3.393465e-02    5.193513   0.000999      0.004052
AC010503.4        3.393340e-02    5.034233   0.000999      0.004052
C6orf136          3.392683e-02    5.131743   0.000999      0.004052
URM1              3.392523e-02    5.197261   0.000999      0.004052
SLF2              3.392471e-02    5.039017   0.000999      0.004052
ISG20L2           3.391971e-02    5.202291   0.000999      0.004052
CEP135            3.391226e-02    5.249057   0.000999      0.004052
GPD2              3.390991e-02    5.302374   0.000999      0.004052
NKIRAS2           3.389771e-02    5.327129   0.000999      0.004052
SNED1             3.388160e-02    5.244934   0.000999      0.004052
NUCB1             3.388008e-02    5.107032   0.000999      0.004052
FAM89B            3.387882e-02    5.269560   0.000999      0.004052
CCHCR1            3.387290e-02    5.215067   0.000999      0.004052
CBFB              3.387176e-02    5.137877   0.000999      0.004052
NKAP              3.386811e-02    5.096106   0.000999      0.004052
CUX1              3.386361e-02    5.157691   0.000999      0.004052
BISPR             3.386022e-02    5.287485   0.000999      0.004052
CSNK1G2           3.385935e-02    5.086309   0.000999      0.004052
ACOX1             3.385847e-02    4.948039   0.000999      0.004052
EID2              3.385619e-02    5.197493   0.000999      0.004052
PSME4             3.384887e-02    5.052012   0.000999      0.004052
CDC23             3.384739e-02    5.425361   0.000999      0.004052
RYK               3.382898e-02    5.189643   0.000999      0.004052
TRMT10C           3.382244e-02    5.108006   0.000999      0.004052
GOLGA3            3.381461e-02    5.015501   0.000999      0.004052
AC092803.2        3.381448e-02    4.911303   0.000999      0.004052
MIR503HG          3.379227e-02    5.310723   0.000999      0.004052
CALHM2            3.378989e-02    5.055690   0.000999      0.004052
CPE               3.378373e-02    5.054654   0.000999      0.004052
CMSS1             3.378368e-02    5.001824   0.000999      0.004052
ANXA11            3.377657e-02    5.159871   0.000999      0.004052
NDUFAF4           3.377459e-02    5.206257   0.000999      0.004052
AAMDC             3.376788e-02    5.077522   0.000999      0.004052
APBB3             3.376397e-02    5.017899   0.000999      0.004052
SLC12A5           3.375740e-02    5.232348   0.000999      0.004052
SLC25A25          3.375616e-02    5.235491   0.000999      0.004052
GZMH              3.375572e-02    4.961200   0.000999      0.004052
MGAT5             3.374640e-02    5.152876   0.000999      0.004052
TBC1D4            3.371844e-02    5.132299   0.000999      0.004052
CRADD             3.370880e-02    4.986453   0.000999      0.004052
CUL3              3.369975e-02    5.192137   0.000999      0.004052
SCAF8             3.369971e-02    5.199081   0.000999      0.004052
SDC2              3.369845e-02    5.143518   0.000999      0.004052
NOX4              3.369232e-02    5.164987   0.000999      0.004052
IRAK1             3.368493e-02    5.231397   0.000999      0.004052
ECEL1             3.368221e-02    4.997176   0.000999      0.004052
SALL2             3.368207e-02    5.364768   0.000999      0.004052
APEX2             3.366867e-02    5.032105   0.000999      0.004052
RNF145            3.366144e-02    5.077520   0.000999      0.004052
ANO5              3.365530e-02    5.037846   0.000999      0.004052
FAM189A2          3.364446e-02    4.946847   0.000999      0.004052
ZNF511            3.364423e-02    5.273300   0.000999      0.004052
CLK3              3.363696e-02    5.049581   0.000999      0.004052
TSC22D4           3.363582e-02    5.136066   0.000999      0.004052
LINC01588         3.363556e-02    5.354624   0.000999      0.004052
MDFIC             3.363363e-02    4.964097   0.000999      0.004052
UTS2              3.362771e-02    5.183308   0.000999      0.004052
AC116407.1        3.361917e-02    5.224584   0.000999      0.004052
ARSD              3.359321e-02    5.141237   0.000999      0.004052
CCNC              3.358911e-02    4.990389   0.000999      0.004052
CRIPT             3.358899e-02    5.228686   0.000999      0.004052
CHD6              3.358666e-02    5.056083   0.000999      0.004052
MAN2A2            3.358616e-02    4.944082   0.000999      0.004052
RFXANK            3.358255e-02    5.133443   0.000999      0.004052
DCDC2             3.358249e-02    5.197788   0.000999      0.004052
PPP1R12C          3.358238e-02    5.109337   0.000999      0.004052
KLF16             3.357691e-02    4.961366   0.000999      0.004052
SAP30BP           3.357324e-02    4.911157   0.000999      0.004052
IL18R1            3.355593e-02    5.142525   0.000999      0.004052
SGPP1             3.355578e-02    4.921169   0.000999      0.004052
GLYR1             3.355326e-02    5.202002   0.000999      0.004052
FAM53C            3.354810e-02    5.286441   0.000999      0.004052
P3H3              3.353274e-02    5.317281   0.000999      0.004052
GOLGA5            3.353116e-02    5.028460   0.000999      0.004052
ADGRA2            3.351774e-02    5.443923   0.000999      0.004052
RSBN1             3.351458e-02    5.091916   0.000999      0.004052
FSTL4             3.350603e-02    5.104360   0.000999      0.004052
CUL7              3.349953e-02    5.130127   0.000999      0.004052
HOTAIR            3.347564e-02    5.100620   0.000999      0.004052
WTAP              3.347084e-02    4.922069   0.000999      0.004052
SNAI2             3.346313e-02    5.194767   0.000999      0.004052
PDE2A             3.346253e-02    5.037581   0.000999      0.004052
INTS14            3.345806e-02    5.057460   0.000999      0.004052
PGAM5             3.343724e-02    4.937120   0.000999      0.004052
ADCY4             3.343649e-02    5.070360   0.000999      0.004052
L3MBTL1           3.342973e-02    5.348412   0.000999      0.004052
CDCA7             3.342760e-02    4.939793   0.000999      0.004052
RPH3AL            3.342514e-02    5.041407   0.000999      0.004052
WSB1              3.342467e-02    5.016443   0.000999      0.004052
ZNF524            3.341633e-02    5.029516   0.000999      0.004052
CDKAL1            3.341528e-02    5.040702   0.000999      0.004052
EML4              3.341503e-02    4.958982   0.000999      0.004052
METAP1            3.340246e-02    5.044005   0.000999      0.004052
FBF1              3.339996e-02    5.073882   0.000999      0.004052
C21orf58          3.339820e-02    5.242552   0.000999      0.004052
PHOSPHO2          3.339348e-02    5.104201   0.000999      0.004052
MMRN2             3.339204e-02    5.304760   0.000999      0.004052
DHPS              3.336856e-02    4.958360   0.000999      0.004052
TBRG4             3.335882e-02    5.063964   0.000999      0.004052
CDKN2B            3.335460e-02    4.856454   0.000999      0.004052
CDC37             3.334882e-02    5.171352   0.000999      0.004052
CMPK1             3.334214e-02    5.084053   0.000999      0.004052
CHMP7             3.333931e-02    5.148308   0.000999      0.004052
FRMD4B            3.333363e-02    5.133315   0.000999      0.004052
RTF2              3.332898e-02    5.201783   0.000999      0.004052
HPS1              3.331399e-02    4.896963   0.000999      0.004052
SERTAD4           3.330674e-02    5.183252   0.000999      0.004052
SH3TC1            3.329568e-02    5.001978   0.000999      0.004052
ZNF544            3.329357e-02    5.160143   0.000999      0.004052
SPINK4            3.328106e-02    5.272212   0.000999      0.004052
AC073508.3        3.328021e-02    5.202614   0.000999      0.004052
CASP10            3.327522e-02    5.187295   0.000999      0.004052
BFAR              3.327179e-02    4.834906   0.000999      0.004052
MCC               3.327170e-02    4.999873   0.000999      0.004052
ZFHX3             3.326773e-02    5.157711   0.000999      0.004052
PLLP              3.326289e-02    4.980066   0.000999      0.004052
TACC3             3.326282e-02    5.087804   0.000999      0.004052
FARS2             3.325940e-02    5.163256   0.000999      0.004052
FIBP              3.324420e-02    4.955768   0.000999      0.004052
RIOX1             3.324273e-02    4.872200   0.000999      0.004052
ARFGAP2           3.323492e-02    5.129757   0.000999      0.004052
CALCA             3.322814e-02    5.241263   0.000999      0.004052
BAZ2B             3.322269e-02    4.864264   0.000999      0.004052
GSTO2             3.322245e-02    5.063913   0.000999      0.004052
PHGDH             3.321689e-02    4.967100   0.000999      0.004052
CST4              3.321577e-02    4.826335   0.000999      0.004052
ELK3              3.320856e-02    5.034766   0.000999      0.004052
TDP2              3.320505e-02    5.402215   0.000999      0.004052
LINGO1            3.319890e-02    5.286459   0.000999      0.004052
LPAR6             3.319480e-02    4.867258   0.000999      0.004052
TCEAL9            3.319193e-02    5.005497   0.000999      0.004052
KHNYN             3.317904e-02    5.169322   0.000999      0.004052
CLK1              3.317393e-02    5.010263   0.000999      0.004052
TOR1B             3.316590e-02    4.931691   0.000999      0.004052
RMI1              3.316086e-02    5.099518   0.000999      0.004052
